"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"7908" "FBtr0273426" 6.648 7.415 3.969 8.367 6.876 6.819 8.376 6.6 5.254 7.826 6.935 7.318 10.35 5.814 8.625 3.001 6.984 8.815 8.758 10.391 7.584 7.225
"7909" "FBtr0273423" 6.549 7.365 3.888 8.387 6.889 6.674 8.305 6.625 5.218 7.755 6.909 7.233 10.358 5.822 8.631 3.012 6.988 8.78 8.755 10.315 7.535 7.2
"7910" "FBtr0273427" 5.425 6.096 2.93 6.674 5.439 4.849 6.652 5.264 4.11 5.783 5.139 5.374 8.657 4.701 6.478 2.97 5.599 7.029 6.867 7.561 5.886 5.489
"7911" "FBtr0273422" 4.467 4.87 2.245 5.484 4.08 3.724 5.063 4.148 3.206 4.511 3.874 4.068 6.459 3.639 4.955 2.161 4.302 5.415 5.192 5.792 4.453 4.126
"7912" "FBtr0075718" 352.176 384.524 316.5 383.144 394.287 286.738 397.255 425.829 317.144 377.254 363.683 325.523 390.776 352.681 464.729 314.621 434.109 484.097 372.871 374.741 304.903 329.429
"7913" "FBtr0075719" 335.88 369.694 300.089 366.841 380.378 275.321 379.884 409.43 302.645 360.937 345.762 314.717 373.654 341.007 450.336 302.579 419.087 466.268 358.308 362.043 290.984 317.745
"7914" "FBtr0075723" 15.007 41.576 15.529 27.235 46.682 24.359 64.956 21.473 15.522 24.599 36.497 17.266 60.851 26.154 30.162 10.076 26.229 39.854 37.165 18.332 26.689 30.064
"7915" "FBtr0075724" 14.818 40.461 15.273 26.537 45.215 23.418 62.957 21.312 14.952 23.935 35.387 16.852 60.334 26.187 29.362 9.35 25.37 38.422 36.061 18.318 25.858 28.957
"7916" "FBtr0301015" 11.446 11.91 12.654 8.581 9.254 13.174 10.836 10.085 13.389 9.924 8.534 14.378 12.016 10.855 15.036 17.034 12.851 8.205 10.066 10.435 13.256 13.018
"7917" "FBtr0301014" 11.479 11.945 12.691 8.606 9.282 13.213 10.868 10.114 13.429 9.953 8.559 14.421 12.052 10.887 15.08 17.084 12.889 8.229 10.096 10.466 13.295 13.056
"7918" "FBtr0075722" 11.335 15.048 8.266 13.527 11.52 17.101 13.699 14.777 12.614 9.047 11.413 13.65 12.565 16.658 14.448 6.207 12.436 13.69 13.591 15.221 12.499 13.92
"7919" "FBtr0114619" 0.776 0.954 0.755 1.093 0.644 1.099 0.852 0.582 0.824 0.589 0.766 0.588 0.54 0.908 0.845 0 0.83 0.911 0.656 0.667 0.809 0.752
"7920" "FBtr0075676" 0.349 1.938 0.823 2.014 1.378 2.088 1.557 1.36 0.925 1.662 1.31 2.197 2.504 3.18 0.905 0.275 1.699 1.187 2.617 2.617 4.052 2.755
"7921" "FBtr0075677" 74.767 66.342 84.405 74.743 55.177 62.186 51.001 60.284 59.229 81.156 51.019 75.342 54.141 45.392 61.141 56.778 46.713 52.889 47.009 49.849 41.903 46.031
"7922" "FBtr0301239" 90.817 80.36 104.287 92.914 68.918 76.72 64.228 72.258 72.462 98.491 64.054 92.579 65.49 53.309 76.209 72.556 56.523 64.246 57.56 61.371 50.629 56.205
"7923" "FBtr0075678" 78.502 67.321 88.188 78.356 56.76 66.1 54.074 63.07 62.72 83.028 53.96 79.473 56.405 47.777 66.018 63.803 49.702 53.974 49.044 52.415 43.609 48.21
"7924" "FBtr0075714" 8.053 8.998 12.222 7.863 9.407 13.283 10.141 6.705 11.011 12.51 11.791 12.773 8.415 8.285 5.452 3.726 8.332 6.071 8.35 8.578 9.105 8.486
"7925" "FBtr0075715" 8.784 9.849 13.372 8.617 10.299 14.418 11.084 7.253 12.009 13.633 12.847 13.881 9.223 9.08 5.938 4.083 9.079 6.575 9.105 9.401 9.963 9.28
"7926" "FBtr0100362" 8.218 9.182 12.473 8.024 9.6 13.555 10.349 6.843 11.236 12.772 12.033 13.034 8.588 8.454 5.564 3.802 8.503 6.196 8.513 8.754 9.291 8.659
"7927" "FBtr0075679" 20.482 21.854 11.161 24.002 12.661 14.808 12.905 25.066 14.023 12.721 10.614 12.925 8.783 6.238 10.096 3.112 10.323 9.313 9.604 5.264 6.79 5.634
"7928" "FBtr0075680" 18.024 19.2 9.832 21.102 11.156 13.014 11.375 22.072 12.356 11.179 9.353 11.364 7.728 5.489 8.907 2.751 9.103 8.196 8.448 4.621 6.008 5.01
"7929" "FBtr0072694" 6.447 6.481 7.025 6.843 5.514 8.145 5.516 6.824 8.198 6.769 5.175 6.435 4.365 9.88 10.634 2.183 4.915 5.101 4.712 6.949 6.107 4.115
"7930" "FBtr0273351" 6.379 7.565 12.043 8.186 7.767 11.836 8.638 6.663 8.732 6.488 9.084 11.363 6.961 7.97 6.372 2.821 8.272 7.179 9.437 6.893 9.027 8.541
"7931" "FBtr0273352" 6.389 7.263 11.614 7.125 5.982 11.71 8.105 5.581 7.64 5.928 8.644 10.537 6.517 6.755 5.3 4.369 7.481 8.321 9.196 6.332 8.446 6.93
"7932" "FBtr0273353" 5.929 6.986 11.268 7.571 7.038 11.043 7.959 6.174 8.095 6.018 8.499 10.339 6.511 7.271 5.648 2.675 7.255 6.608 8.857 6.378 8.423 7.987
"7933" "FBtr0299649" 8.602 10.567 7.889 10.618 10.213 9.474 20.254 8.962 8.866 15.648 17.049 12.184 15.089 9.907 9.656 1.571 9.893 11.152 11.485 11.171 10.424 10.526
"7934" "FBtr0075712" 4.377 4.501 0.393 4.971 5.187 2.881 3.364 5.227 2.215 1.891 2.388 3.066 6.059 2.829 6.859 11.724 4.651 6.385 5.268 4.709 3.944 5.313
"7935" "FBtr0075684" 2.363 1.135 2.382 2.011 1.634 1.55 0.965 1.669 1.787 1.014 1.466 2.819 1.406 1.583 0.613 0 0.886 0.894 0.891 0.356 1.221 0.956
"7936" "FBtr0299650" 10.473 12.881 9.439 12.918 12.544 11.547 24.593 11.097 10.922 18.784 20.07 14.786 18.984 12.159 12.174 2.111 12.462 13.97 14.165 14.004 13.017 12.929
"7937" "FBtr0299651" 9.805 11.592 8.849 11.979 10.81 10.455 21.005 10.149 9.877 16.278 17.281 12.948 16.638 11.099 11.048 3.276 11.831 12.492 12.647 12.521 11.791 11.41
"7938" "FBtr0300641" 34.019 38.725 38.768 33.228 32.299 38.277 34.699 34.397 35.993 34.768 33.349 37.578 30.534 35.341 40.35 6.046 36.93 37.693 32.894 38.562 35.544 31.609
"7939" "FBtr0300642" 38.577 44.301 43.759 37.837 36.518 43.49 38.922 39.1 40.651 39.137 37.466 42.712 34.441 39.891 46.186 6.617 42.112 42.733 36.963 43.883 40.159 35.687
"7940" "FBtr0075707" 34.019 38.725 38.768 33.228 32.299 38.277 34.699 34.397 35.993 34.768 33.349 37.578 30.534 35.341 40.35 6.046 36.93 37.693 32.894 38.562 35.544 31.609
"7941" "FBtr0100445" 38.577 44.301 43.759 37.837 36.518 43.49 38.922 39.1 40.651 39.137 37.466 42.712 34.441 39.891 46.186 6.617 42.112 42.733 36.963 43.883 40.159 35.687
"7942" "FBtr0075705" 32.78 38.045 36.201 32.8 29.708 36.174 35.524 32.265 32.648 34.597 33.731 37.218 31.623 31.458 36.666 5.725 34.776 36.586 31.789 37.752 32.637 28.23
"7943" "FBtr0075706" 28.657 32.867 31.876 28.498 26.119 31.565 31.39 28.145 28.763 30.483 29.767 32.409 27.747 27.76 31.717 5.234 30.205 31.984 28.107 32.837 28.722 24.899
"7944" "FBtr0075703" 40.445 46.658 44.499 40.748 36.277 42.881 43.338 39.22 39.517 42.073 40.718 44.883 38.237 38.735 45.544 4.241 42.692 44.838 39.042 47.053 39.749 34.378
"7945" "FBtr0075704" 33.455 36.298 38.25 32.029 30.345 37.259 34.723 35.099 32.556 34.591 35.003 34.389 32.898 31.131 37.378 4.141 35.909 36.738 33.774 40.982 33.565 28.121
"7946" "FBtr0075708" 36.287 39.254 41.545 34.835 32.987 40.294 37.729 38.13 35.176 37.393 37.98 37.225 35.553 33.894 40.4 4.475 38.894 39.659 36.55 44.359 36.427 30.624
"7947" "FBtr0100443" 38.252 40.759 43.314 36.748 35.137 42.523 39.686 40.385 37.025 39.413 39.933 39.205 37.294 35.431 42.821 4.788 41.082 41.652 38.32 46.891 38.002 31.783
"7948" "FBtr0100444" 37.184 40.175 42.443 35.661 33.74 41.19 38.758 38.966 35.917 38.251 38.968 38.027 36.508 34.664 41.507 4.629 40.193 40.889 37.468 45.706 37.499 31.407
"7949" "FBtr0302436" 5.005 7.113 6.323 5.778 4.183 5.072 6.412 5.98 4.592 5.269 5.071 6.49 6.334 5.884 4.296 2.669 5.395 3.95 6.384 4.421 5.529 5.876
"7950" "FBtr0072713" 0.834 1.197 1.024 0.813 0.696 1.216 0.694 0.7 0.891 0.847 0.737 1.152 0.96 1.245 0.865 0.307 0.893 1.044 0.755 1.045 1.215 1.088
"7951" "FBtr0072712" 1.058 1.286 1.382 0.855 1.213 1.231 0.82 1.567 1.066 0.941 0.995 1.211 1.024 1.37 1.034 1.231 0.978 1.253 1.056 1.371 1.578 1.239
"7952" "FBtr0075690" 18.162 19.693 17.593 17.735 13.354 20.703 14.621 17.313 18.062 13.136 13.14 13.963 13.736 15.509 14.995 8.329 16.136 15.715 15.651 14.226 12.862 12.108
"7953" "FBtr0075700" 31.29 32.468 30.586 35.325 26.796 29.203 28.931 31.741 28.94 30.535 30.194 35.698 26.437 27.218 30.259 7.712 30.744 29.955 28.425 27.919 26.1 26.184
"7954" "FBtr0075699" 19.102 32.593 110.066 28.248 58.09 58.497 58.291 25.676 53.546 114.325 118.874 96.143 61.75 48.872 21.858 13.071 20.472 19.629 33.561 104.489 45.734 50.784
"7955" "FBtr0300190" 20.087 34.077 116.03 29.492 61.327 61.644 61.335 27.069 56.381 120.47 125.508 100.956 65.155 51.415 23.033 13.84 21.56 20.628 35.399 110.232 48.247 53.613
"7956" "FBtr0075691" 16.984 16.315 15.261 17.887 18.302 19.882 17.064 17.533 16.673 15.432 19.621 17.296 13.152 15.288 14.939 8.768 15.256 16.587 14.491 17.996 14.422 13.463
"7957" "FBtr0075692" 29.692 31.892 33.577 29.581 29.021 30.77 27.021 36.57 31.156 30.794 29.273 31.031 24.25 28.54 24.932 7.044 26.397 29.43 26.774 24.49 30.857 27.003
"7958" "FBtr0075693" 29.153 31.308 33.009 29.07 28.476 30.2 26.537 35.888 30.721 30.253 28.777 30.501 23.845 28.101 24.504 6.894 25.936 28.966 26.292 24.078 30.413 26.532
"7959" "FBtr0075698" 9.579 11.383 12.297 12.121 12.218 11.739 15.921 12.893 13.458 15.658 13.933 14.463 15.852 21.945 12.953 23.197 15.786 14.349 12.674 15.013 13.219 20.268
"7960" "FBtr0075697" 0.392 0.245 0.248 0.419 0.334 1.549 0.154 0.147 0.158 0.657 0.113 0.416 0.264 0.064 0.324 0 0.097 0.293 0.274 0.208 0.445 0.224
"7961" "FBtr0110825" 40.866 41.802 28.636 50.795 23.684 32.245 29.871 36.945 29.397 28.366 25.941 27.825 24.35 23.584 29.359 5.192 30.417 37.188 27.261 24.224 17.837 17.321
"7962" "FBtr0075695" 64.839 63.775 42.117 75.884 47.271 48.459 48.092 61.12 45.481 43.593 41.147 44.562 39.392 40.969 54.132 11.327 50.191 61.009 44.274 39.044 32.469 34.875
"7963" "FBtr0302580" 0.689 1.209 1.292 1.722 0.161 0.97 0.687 0.774 1.038 0.776 0.601 1.168 0.795 1.265 1.255 0 0.955 0.643 0.506 0.939 1.097 0.778
"7964" "FBtr0091635" 0.276 0.605 0 1.033 3.746 0.485 0.578 0 2.077 0.405 1.11 0.797 0 0 0 0 0 0.643 0.337 0.683 0.732 0.983
"7965" "FBtr0299509" 11.608 8.777 12.553 12.978 10.409 11.908 7.819 12.447 10.988 9.621 9.451 10.417 9.426 12.329 12.03 7.216 13.575 11.927 12.311 11.72 14.818 13.513
"7966" "FBtr0072711" 27.607 27.582 27.462 26.726 25.477 32.928 25.796 28.027 29.144 26.47 25.759 28.385 23.771 30.699 27.902 10.692 29.462 30.893 27.88 30.528 29.483 25.601
"7967" "FBtr0299510" 11.909 8.993 12.956 13.266 11.436 11.916 8.018 13.107 11.434 10.034 9.819 10.789 10.047 11.911 12.345 6.581 13.928 12.549 12.322 11.981 15.262 13.816
"7968" "FBtr0072538" 1.617 1.351 2.349 1.752 1.205 1.747 1.28 1.918 1.582 0.994 1.657 1.793 1.439 1.855 1.217 1.987 1.586 1.328 1.531 1.754 2.094 1.467
"7969" "FBtr0072539" 1.633 1.365 2.372 1.77 1.217 1.764 1.292 1.938 1.598 1.004 1.674 1.811 1.454 1.874 1.23 2.007 1.602 1.342 1.54 1.772 2.114 1.482
"7970" "FBtr0072707" 167.949 149.565 246.485 168.583 177.644 239.987 158.786 187.983 203.654 142.65 196.377 199.465 154.186 204.285 183.424 97.669 155.182 172.118 197.554 192.039 218.932 199.539
"7971" "FBtr0072708" 159.096 142.043 235.586 159.502 167.442 228.11 149.516 177.784 196.783 135.664 184.41 191.929 148.016 194.887 173.681 90.676 147.063 161.482 186.468 181.742 208.091 188.921
"7972" "FBtr0072709" 169.589 150.919 248.321 170.013 180.724 242.464 160.845 189.958 206.207 143.746 199.152 199.902 155.743 206.301 184.65 99.767 157.006 174.728 200.048 194.11 221.825 202.6
"7973" "FBtr0072710" 167.06 148.94 245.677 167.348 178.071 238.792 157.821 186.861 205.364 141.403 194.888 199.917 154.602 203.401 181.959 95.874 155.225 170.975 196.733 190.871 219.586 200.105
"7974" "FBtr0300416" 106.27 96.298 160.933 107.103 109.316 153.65 99.108 119.953 133.523 93.459 122.09 130.321 101.792 130.22 117.526 55.199 100.813 105.951 123.105 118.252 142.547 126.439
"7975" "FBtr0300417" 168.783 150.241 247.567 169.271 178.453 240.943 159.569 188.969 204.655 143.373 197.33 200.298 154.918 205.163 184.159 98.227 155.996 173.065 198.568 192.98 220.058 200.576
"7976" "FBtr0300418" 152.697 136.846 228.753 153.822 160.514 219.56 143.84 170.688 190.311 131.376 177.517 186.193 142.879 186.835 166.877 85.001 140.973 154.082 178.933 173.697 200.167 180.999
"7977" "FBtr0300419" 114.783 103.897 173.576 115.591 118.315 165.905 106.947 129.547 144.115 100.797 131.968 140.454 109.805 140.703 127.207 59.244 108.892 114.442 133.016 128.069 153.852 136.705
"7978" "FBtr0300420" 142.537 127.636 210.388 141.708 148.844 204.746 132.34 159.465 176.486 121.312 163.303 173.644 133.443 174.452 153.852 79.567 132.779 143.833 166.11 161.79 188.69 170.019
"7979" "FBtr0301523" 168.533 150.09 247.28 169.162 178.281 240.867 159.36 188.628 204.356 143.15 197.086 200.085 154.685 205.034 183.949 98.027 155.678 172.749 198.253 192.685 219.714 200.251
"7980" "FBtr0075624" 8.394 6.754 9.352 7.639 9.805 9.141 11.089 6.412 7.863 12.32 10.757 9.728 14.537 14.093 11.817 8.664 10.765 12.057 12.65 13.888 12.259 13.683
"7981" "FBtr0075626" 11.265 13.823 4.96 8.119 7.397 8.268 10.636 9.826 4.835 3.654 5.041 7.044 7.786 6.145 11.173 4.9 9.619 13.818 7.508 4.851 6.261 6.403
"7982" "FBtr0114529" 11.682 14.595 5.185 8.179 8.081 8.542 11.236 10.487 5.057 3.875 5.26 7.167 8.373 6.387 12.127 5.695 9.908 15.13 7.953 5.204 6.673 6.957
"7983" "FBtr0075627" 10.77 13.119 4.687 7.715 7.019 7.892 10.057 9.422 4.583 3.502 4.768 6.728 7.445 5.848 10.548 4.644 9.153 12.809 7.123 4.617 5.976 6.06
"7984" "FBtr0113171" 4.483 4.925 3.234 3.731 3.819 2.764 4.028 4.368 2.96 3.332 2.065 3.405 4.283 4.535 7.15 2.375 5.187 5.339 4.962 4.003 4.26 4.096
"7985" "FBtr0075628" 4.725 4.739 3.368 3.957 4.185 2.697 4.178 4.535 3.157 3.453 2.242 3.568 4.33 4.315 6.977 2.617 5.145 5.48 5.225 3.951 4.563 4.249
"7986" "FBtr0075672" 11.176 13.226 11.137 11.514 9.527 14.231 11.433 11.606 12.681 10.642 11.663 15.191 21.776 17.117 21.845 25.183 18.699 20.693 18.689 25.85 18.726 22.549
"7987" "FBtr0075629" 82.927 85.757 72.879 86.332 93.793 81.454 88.481 89.35 74.545 125.992 98.611 110.159 128.602 107.296 94.157 76.101 77.866 94.36 98.18 139.117 100.868 110.096
"7988" "FBtr0075671" 3.391 3.009 2.23 3.952 3.682 2.741 2.735 3.47 2.82 3.089 2.649 2.426 3.755 5.718 5.267 3.051 3.938 3.252 3.122 4.966 2.601 3.087
"7989" "FBtr0299849" 12.946 13.056 11.089 9.237 7.989 13.395 9.753 15.102 10.967 8.126 9.4 9.65 9.417 10.146 10.559 3.458 10.312 10.292 9.791 11.269 10.484 8.646
"7990" "FBtr0299848" 12.394 12.736 10.61 8.896 7.803 12.168 9.313 14.671 10.751 7.735 9.007 9.316 9.079 9.868 9.937 3.005 10.065 9.853 9.35 10.681 10.299 8.331
"7991" "FBtr0075630" 0.383 0.124 0.867 0.422 0.095 0.238 0.39 0.047 0.286 0.232 0.136 0.391 0.567 0 1.567 0 0.625 0.473 0.386 0.418 0.359 0.241
"7992" "FBtr0072697" 22.369 23.788 28.828 22.207 22.455 24.005 23.107 24.796 22.011 24.111 24.351 26.78 21.604 21.238 23.184 6.783 22.474 23.725 21.463 24.861 21.314 20.843
"7993" "FBtr0072706" 16.899 18.268 17.991 24.181 16.731 19.174 20.266 22.071 19.591 21.013 21.526 17.609 22.739 20.075 21.524 10.777 17.3 22.269 17.242 19.421 15.986 19.975
"7994" "FBtr0099993" 21.769 31.233 30.397 23.446 30.749 32.07 28.776 26.72 26.868 29.301 35.784 37.903 29.772 23.931 34.611 10.269 27.747 29.879 32.75 35.016 42.078 26.191
"7995" "FBtr0099992" 16.476 22.009 20.987 16.974 18.085 22.119 20.645 18.897 17.219 20.777 23.359 24.737 18.335 15.538 20.71 5.351 17.825 18.382 20.202 21.324 24.449 16.369
"7996" "FBtr0075659" 0.26 0.534 0.77 0.339 0.207 0.119 0.623 0.024 0.527 0.399 0.57 0.435 1.814 1.558 1.911 0 1.255 0.791 1.758 2.438 1.577 2.4
"7997" "FBtr0075657" 5.654 4.608 4.899 4.03 3.446 6.644 4.573 4.397 5.947 5.657 4.674 6.123 4.356 4.295 4.052 2.622 4.583 4.216 4.198 4.519 5.086 4.322
"7998" "FBtr0072474" 22.579 23.131 22.873 23.123 19.771 22.438 18.336 23.022 21.169 16.528 18.411 19.062 17.773 20.949 26.894 12.964 25.1 25.486 22.773 21.732 21.505 19.345
"7999" "FBtr0075632" 15.746 13.982 16.337 16.77 18.356 14.367 18.159 14.909 15.455 20.494 15.457 15.357 17.589 16.748 16.504 6.266 14.613 13.091 15.922 16.979 14.504 14.002
"8000" "FBtr0075633" 15.356 13.637 15.918 16.356 17.903 14.012 17.702 14.541 15.058 19.987 15.075 14.965 17.154 16.334 16.105 6.111 14.216 12.768 15.523 16.56 14.146 13.656
"8001" "FBtr0075634" 17.027 17.802 18.78 15.622 15.097 18.079 16.025 17.117 19.967 17.107 16.001 19.783 17.302 15.259 18.768 4.902 17.01 16.636 18.79 16.343 17.624 16.41
"8002" "FBtr0075635" 11.071 9.519 15.518 11.695 9.225 10.26 8.738 10.208 12.601 8.29 10.863 11.724 9.724 9.874 10.332 6.722 11.242 9.95 11.583 8.857 10.068 9.298
"8003" "FBtr0075636" 15.205 15.581 17.567 13.66 13.111 16.45 14.306 15.356 17.612 14.534 14.061 17.5 15.441 14.954 17.275 4.867 15.55 15.654 17.206 15.151 16.025 15.136
"8004" "FBtr0075637" 1.582 2.076 0.87 1.477 1.529 1.117 1.425 2.143 0.997 0.536 0.734 1.261 1.202 0.945 1.752 0 0.652 1.316 1.302 0.491 0.679 0.713
"8005" "FBtr0075638" 3.99 3.559 6.933 3.665 3.542 4.841 3.497 3.795 4.149 3.669 4.324 4.928 3.228 2.952 3.381 1.9 3.336 3.341 3.951 3.387 3.443 3.211
"8006" "FBtr0075655" 6.077 4.846 5.072 5.815 5.479 4.196 4.292 6.879 4.019 3.209 3.891 4.125 3.117 4.987 6.157 5.006 6.483 4.231 4.7 4.691 3.857 3.844
"8007" "FBtr0075656" 6.632 5.282 5.41 6.347 5.976 4.596 4.663 7.51 4.359 3.515 4.25 4.427 3.395 5.463 6.684 5.484 7.059 4.634 5.133 5.104 4.127 4.145
"8008" "FBtr0075652" 8.071 8.208 8.739 7.035 7.665 9.935 7.336 8.565 9.256 7.231 8.219 8.612 6.799 9.036 8.393 3.74 7.891 6.609 7.573 8.287 8.307 7.03
"8009" "FBtr0075651" 7.509 7.729 8.379 6.618 7.114 9.141 6.868 7.841 8.626 6.785 7.692 8.08 6.263 8.35 7.68 3.394 7.388 6.206 7.101 7.675 7.858 6.544
"8010" "FBtr0091708" 0.695 0.127 0 0 0 1.223 0.729 0.244 0 0.17 0 0.575 0 0 0 0 0.803 0 0 0 0 0
"8011" "FBtr0075650" 97.169 106.576 69.687 112.19 129.556 80.741 139.807 112.959 79.461 126.846 89.39 60.353 134.164 116.568 142.549 122.366 119.2 120.44 109.507 116.507 94.113 96.542
"8012" "FBtr0075648" 97.135 107.031 70.377 112.804 128.125 81.569 140.478 112.536 79.507 128.069 90.034 61.389 132.114 113.781 139.825 115.206 117.106 121.715 108.368 114.421 91.768 93.456
"8013" "FBtr0075647" 7.991 8.01 10.222 7.242 5.76 8.57 8.107 7.339 8.063 7.742 8.96 10.416 7.041 8.062 7.658 9.196 7 6.245 7.018 6.252 7.167 6.183
"8014" "FBtr0075640" 32.754 40.542 34.975 38.995 39.086 38.658 50.77 33.67 40.193 37.625 46.838 45.487 29.496 26.166 22.249 19.177 18.424 24.198 23.519 26.429 23.963 24.872
"8015" "FBtr0075641" 13.378 14.614 10.624 13.549 8.591 13.651 11.137 11.813 12.266 9.898 10.116 10.71 10.319 11.03 13.296 5.082 14.549 12.009 12.144 12.083 12.477 9.995
"8016" "FBtr0075646" 3.241 4.109 3.037 2.423 2.664 4.353 3.041 2.499 3.453 2.785 2.875 3.598 1.45 1.484 1.714 1.199 1.892 1.953 1.382 1.824 2.561 1.79
"8017" "FBtr0075642" 14.946 14.094 14.609 14.397 14.821 20.046 13.952 14.194 19.314 16.508 16.848 18.013 15.543 14.394 16.245 11.619 14.047 16.187 15.468 14.953 15.836 15.537
"8018" "FBtr0075645" 11.517 11.772 11.032 12.683 10.519 10.74 11.851 11.76 12.516 13.215 10.894 14.362 12.592 11.977 11.932 6.996 11.527 9.761 11.13 12.159 11.643 12.506
"8019" "FBtr0075643" 21.971 24.572 17.539 22.395 24.754 19.826 20.623 28.475 19.636 16.602 17.368 18.369 27.8 26.319 31.034 46.034 27.887 26.962 24.635 23.534 20.812 26.455
"8020" "FBtr0072698" 21.089 22.505 27.133 20.929 21.121 22.69 21.648 23.183 20.689 22.708 22.686 24.914 20.472 19.978 21.735 6.235 20.924 22.278 20.039 23.375 19.821 19.41
"8021" "FBtr0072699" 21.834 23.21 28.131 21.729 21.9 23.427 22.58 24.212 21.424 23.545 23.742 26.117 21.073 20.711 22.62 6.609 21.946 23.19 20.965 24.245 20.742 20.353
"8022" "FBtr0072700" 21.114 22.51 27.184 21.142 21.138 22.743 21.825 23.456 20.739 22.769 22.913 25.297 20.328 20.105 21.951 6.382 21.261 22.393 20.276 23.424 20.043 19.648
"8023" "FBtr0072701" 22.19 23.617 28.618 22.1 22.268 23.842 22.931 24.641 21.789 23.941 24.135 26.558 21.413 21.062 23.02 6.726 22.287 23.6 21.293 24.648 21.11 20.658
"8024" "FBtr0072702" 21.649 22.915 28.148 21.64 21.878 23.389 22.536 23.962 21.4 23.255 23.711 26.008 21.004 20.288 22.464 6.748 21.495 22.999 20.689 23.821 20.447 20.255
"8025" "FBtr0075607" 1.587 1.36 1.048 1.421 0.998 1.482 0.774 1.236 1.281 1.396 1.145 1.007 0.99 1.158 1.291 0.081 0.979 1.214 1.111 1.183 0.926 0.915
"8026" "FBtr0072703" 39.504 37.908 46.818 49.799 32.388 48.204 38.502 38.525 48.076 32.114 41.344 42.773 64.207 54.535 65.996 46.986 62.932 66.985 71.884 53.611 58.724 54.336
"8027" "FBtr0072704" 38.181 36.521 45.23 48.513 31.007 45.961 37 35.953 47.294 31.341 40.845 43.182 63.037 51.55 63.081 47.012 61.195 64.64 70.317 51.962 57.633 53.283
"8028" "FBtr0072705" 38.505 36.953 45.873 48.876 31.605 46.472 37.198 36.583 47.589 31.435 41.209 43.113 63.222 52.393 63.755 48.416 62.057 65.935 70.891 52.237 57.905 53.368
"8029" "FBtr0299864" 23.325 24.083 24.25 24.287 20.488 23.194 19.129 24.317 22.254 17.384 19.181 19.886 18.539 21.799 27.861 14.226 26.268 26.59 23.862 22.649 22.553 19.772
"8030" "FBtr0100014" 11.487 11.661 16.538 13.77 6.832 13.715 9.572 13.694 10.598 9.041 8.65 13.848 9.663 10.442 10.96 0.046 10.039 9.537 11.553 11.139 11.559 11.838
"8031" "FBtr0100360" 3.707 3.231 3.104 2.941 2.927 2.927 2.906 1.943 3.251 2.143 3.304 4.082 3.074 2.789 2.914 3.389 2.656 2.255 3.277 2.12 2.041 2.35
"8032" "FBtr0110880" 4.653 4.224 3.84 3.867 3.164 3.821 3.795 1.855 4.1 2.553 4.552 5.127 3.748 2.652 4.076 5.88 3.464 2.758 3.825 2.767 2.154 2.934
"8033" "FBtr0301185" 4.611 4.185 3.805 3.831 3.142 3.786 3.76 1.838 4.062 2.53 4.51 5.086 3.714 2.627 4.039 5.826 3.464 2.733 3.795 2.742 2.134 2.907
"8034" "FBtr0110881" 3.769 3.322 3.257 2.784 2.902 3.039 2.944 2.108 3.392 2.174 3.437 4.33 3.222 3.006 2.836 3.869 2.564 2.375 3.486 2.168 2.257 2.454
"8035" "FBtr0075614" 6.379 8.045 4.828 5.503 3.33 7.338 6.012 6.589 6.185 5.367 5.005 4.731 4.477 5.485 5.6 2.358 6.746 6.236 5.787 6.419 6.43 4.04
"8036" "FBtr0072831" 96.149 97.644 99.074 88.615 131.17 115.549 102.867 118.004 100.537 110.335 118.027 97.812 105.92 119.718 112.962 68.792 106.322 108.001 101.46 119.913 105.121 108.568
"8037" "FBtr0072737" 23.579 23.998 25.815 24.447 20.234 25.753 22.756 25.154 22.95 20.691 23.112 22.774 21.641 25.529 26.82 13.154 24.888 25.79 24.88 27.216 23.687 21.983
"8038" "FBtr0072735" 24.35 24.77 26.745 25.272 20.822 26.65 23.411 26.027 23.624 21.323 23.725 23.494 22.289 26.151 27.543 13.69 25.636 26.79 25.673 28.097 24.346 22.635
"8039" "FBtr0072736" 24.274 24.715 26.676 25.172 20.793 26.492 23.353 25.987 23.565 21.226 23.635 23.408 22.212 26.055 27.523 13.803 25.501 26.737 25.604 28.058 24.252 22.558
"8040" "FBtr0072830" 0.649 0.616 2.493 0.658 0.493 0.463 0.497 0.296 0.992 0.825 1.272 1.48 0.221 0.967 0.785 0.682 0.973 0 0.386 0.717 1.048 0.657
"8041" "FBtr0072738" 80.073 75.056 190.67 87.828 89.69 154.034 114.957 71.53 147.158 210.357 237.69 154.368 96.281 98.373 89.982 46.439 85.706 109.453 103.134 140.022 126.663 107.867
"8042" "FBtr0072739" 76.734 71.266 182.029 83.979 86.599 145.971 109.168 68.727 140.389 200.952 228.796 146.934 92.015 93.768 86.29 45.327 82.358 105.446 98.028 134.008 122.077 103.753
"8043" "FBtr0072740" 80.561 74.844 191.092 88.107 90.911 153.336 114.52 72.29 147.421 210.786 239.55 154.249 96.588 98.469 90.488 46.929 86.577 110.63 102.669 140.334 127.74 108.689
