"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"57" "FBtr0079984" 7.975 7.559 9.219 8.032 7.318 9.207 8.517 7.354 8.488 9.814 8.541 10.171 8.984 9.194 7.864 4.15 8.473 8.499 7.89 8.821 9.029 8.835
"58" "FBtr0079985" 6.192 7.235 5.769 7.138 4.363 5.379 7.007 4.517 7.752 5.442 6.431 6.86 5.233 5.437 6.058 5.439 6.444 5.454 7.208 5.514 7.223 6.174
"59" "FBtr0079986" 10.771 11.021 10.408 9.464 11.337 12.157 12.203 12.75 11.379 10.732 12.489 12.559 11.719 8.922 10.269 3.44 10.556 11.213 11.299 10.16 11.129 11.002
"60" "FBtr0080078" 1.532 2.186 4.826 1.297 1.25 2.868 2.151 3.019 2.815 1.96 2.853 3.472 2.331 4.99 0.955 0.747 2.74 1.728 1.733 2.019 2.098 2.496
"61" "FBtr0080076" 14.008 14.326 14.845 12.969 13.214 16.553 13.162 14.492 15.764 12.333 13.552 17.634 13.189 12.508 13.234 9.333 13.021 11.522 12.888 12.368 14.25 12.445
"62" "FBtr0080077" 14.05 14.382 14.903 13.019 13.265 16.617 13.213 14.548 15.819 12.38 13.604 17.687 13.24 12.556 13.285 9.369 13.043 11.567 12.927 12.416 14.305 12.494
"63" "FBtr0080075" 12.671 13.03 13.672 11.76 11.827 15.111 12.274 12.925 14.573 11.371 12.368 16.235 11.975 11.929 11.702 8.975 11.992 10.294 11.736 11.593 13.061 11.3
"64" "FBtr0080074" 47.132 49.926 45.264 43.83 38.366 47.907 41.671 38.903 44.9 49.163 43.227 45.046 40.674 39.059 38.877 17.117 42.577 41.035 42.789 43.776 40.774 36.568
"65" "FBtr0080072" 19.478 19.773 23.244 19.644 16.075 25.184 16.175 15.74 26.097 17.264 18.412 26.292 16.325 12.732 16.177 6.591 18.163 15.745 18.464 15.428 20.336 18.622
"66" "FBtr0080069" 23.072 24.011 26.608 23.144 19.722 29.614 19.732 19.345 29.316 19.773 21.518 30.296 19.614 16.642 19.043 7.759 21.332 18.184 21.371 18.295 23.058 21.048
"67" "FBtr0080070" 22.423 23.343 25.852 22.487 19.162 28.773 19.182 18.874 28.518 19.221 20.907 29.451 19.057 16.17 18.512 7.539 20.727 17.668 20.772 17.821 22.404 20.472
"68" "FBtr0080071" 22.586 23.513 26.04 22.65 19.301 28.983 19.321 19.011 28.726 19.351 21.059 29.665 19.196 16.287 18.647 7.594 20.877 17.796 20.923 17.905 22.566 20.599
"69" "FBtr0080068" 20.949 22.624 24.411 21.286 18.357 28.144 18.941 16.918 25.874 18.214 19.032 26.883 18.592 15.597 18.106 3.896 19.762 17.32 19.319 17.248 20.212 18.422
"70" "FBtr0080065" 26.809 24.305 26.311 26.377 27.919 30.587 25 27.46 27.763 31.033 26.146 28.545 26.708 25.932 26.913 20.351 20.953 22.739 22.646 26.175 21.662 23.764
"71" "FBtr0080064" 41.364 48.193 16.1 58.676 65.302 15.339 57.321 48.642 19.645 45.395 46.288 28.85 110.255 72.818 72.455 121.886 63.187 85.764 50.227 52.658 28.938 62.932
"72" "FBtr0079987" 24.774 26.332 26.613 27.835 25.656 24.325 26.196 27.212 29.562 22.402 25.855 26.12 24.791 20.347 22.524 22.524 25.339 21.65 25.473 26.258 26.115 26.634
"73" "FBtr0080063" 99.684 102.694 108.196 90.849 84.13 99.256 83.024 101.95 103.009 74.399 84.581 92.321 103.884 110.314 130.998 65.177 116.943 111.115 108.945 110.163 108.821 98.122
"74" "FBtr0080062" 16.117 18.591 19.399 15.196 16.291 22.335 13.787 15.774 20.089 18.974 15.866 21.462 16.242 16.808 13.587 45.636 14.843 16.465 16.616 14.936 17.506 16.114
"75" "FBtr0080061" 21.636 19.508 22.926 23.76 31.637 27.259 28.502 25.424 30.012 40.112 34.902 37.923 32.75 27.266 22.621 18.922 22.335 25.954 28.974 33.216 31.196 29.185
"76" "FBtr0079988" 28.064 31.327 23.688 29.957 22.12 22.449 23.499 28.835 25.737 26.489 20.309 30.353 32.547 23.417 30.596 14.322 32.321 25.574 26.901 26.955 24.612 23.836
"77" "FBtr0080060" 13.498 16.224 11.482 15.631 15.405 13.849 19.805 15.21 13.997 15.02 18.409 17.527 23.924 21.035 15.752 12.565 15.016 14.138 19.082 16.342 20.255 21.39
"78" "FBtr0080059" 1.757 1.342 1.188 0.991 2.154 3.9 2.257 1.042 4.661 3.776 2.484 4.048 1.447 2.809 1.037 0.063 1.222 0.856 1.581 3.327 2.202 2.958
"79" "FBtr0113033" 30.315 35.81 32.35 31.309 24.067 28.762 23.92 31.278 33.965 22.918 24.067 35.446 28.67 24.687 29.472 12.482 34.3 27.146 29.517 23.144 31.889 27.23
